code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,subsubcode #,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,,,,,,,,,,,,,,,
weapon,bow/arrow,arme,arc/flèches,95.0,6.0,7.0,"arrow, poison","flèche, poison",8631.0,,,2010.06,,poisoned arrow,flèche empoisonée,1.0,tèyⁿ-[ì-rⁿù] nɛ̂m,mùɲ-cɛ̀m nɔ́:-wⁿ-yɛ́y,,tò:-kɛ̀mɛ̀ nɔ́:-mí-yɛ́,kèŋ-nɔ̀mú,,mùɲù-cɛ̀m nɔ̀:-ẃⁿ,,,,kɔ̀mɔ̀-kɛ̀ⁿ nɔ̀:-mú,,,,,tòò nɔ́ɔ́-mí-yɛ̀m,,,,,,,tɔ̀:ⁿ nyámì,,,,,,,,,,,,,,,,,,,
weapon,slingshot,arme,lance-pierres,95.0,7.0,1.0,slingshot,lance-pierres,4672.0,get,,old,,slingshot,lance-pierres,1.0,mànà sày-tǎy,mànà-[nì:yⁿì-[tǎ-ỳ],"mánà, mànà tá-mbô:",màrⁿà lì:gì-ta᷈:,"mánà, mànà sàdà:-[tà-ý]","mana,manabetaⁿ","mánà, mànà-bè-tâ:ⁿ",màrⁿà bárⁿú,,,mànà-tá:jú,"márⁿà, màrⁿà [sì-sà:]-tǎy",,,,mànà sàdàà tǎy,mánà,,"márⁿá, màrⁿà àdì-tǎy-ŋgó (""plastic bird-shoot-ing"")",mànà [àɲàn tày],"nì:-tɛ̌:-ŋgò\\nì:-tɛ᷈:, nì:-tǎ:-ŋgò\\nì:-tɛ᷈:",,mànà ìnì tàyí,,nì:bè-gé tǎy-yò,mànà tày-tày-yé,,,,,,,,,,,,,,,,
weapon,slingshot,arme,lance-pierres,95.0,7.0,2.0,slingshot,lance-pierres,4673.0,,,old,,bamboo slingshot,lance-pierres en bambou,loc,,,xxx,xxx,,,xxx,xxx,,,,xxx,,,,bíndí,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,slingshot,arme,lance-pierres,95.0,7.0,3.0,slingshot,lance,4674.0,,get,old,,slingshot that is swung around the head while hunting (its noise flushes out game birds),lance-pierres qu'on agite au-dessus de la tête dans la chasse (le bruit effraie et fait s'envoler les oiseaux),1.0,tùwò-dá:ⁿsɛ̀y (for heaving stones a long way),,xxx,xxx,,,xxx,xxx,,,,xxx,,,,pààràá,pá:rà,,lùb-cǐn,lòbòcìn,,,,,,,,,,,,,,,,,,,,,,
weapon,whip (noun),arme,fouet,95.0,8.0,1.0,whip,fouet,4675.0,,,old,,whip (strap of animal hide),fouet (lanière de peau),1.0,"káráwâs, káráwásì","dóló:sù, kàràwá:sù",dórròl,dóró:sì,tɛ̀mbú,dorowol,dórówôl,sù-sònî:,,,témú,"bɔ́nɔ̀, nà:-gùjú bɔ̀nɔ̀",,,,dóròlù,dóròl,,bɔ̀ndíyɛ́,"bɔ̀nɔ̀, dóròzù",kàràwá:sù\\kàràwá:sì,,,,sɔ́:yɛ̀,gwɛ̀:ⁿ,,,,,,,,,,,,,,,,
weapon,whip (noun),arme,fouet,95.0,8.0,2.0,whip,fouet,4676.0,,,old,,whip (branch),fouet (branche),1.0,nàŋà-sɔ̀rí:,sùsònî:,"sɔ̀sɔ̀lú, sɔ̀sɔ̌l","tùsâ, sɔ̀-sɔ̀rî",sùndɔ́,sisɔl,sì-sɔ̌l,sù-sònî:,sì-sɔ̌l,sì-sɔ̌l,sùsùlɛ́ⁿ,bɔ́nɔ̀,,,,bɔ̀nnàá,sòndá:,,bɔ̀ndíyɛ́,bɔ̀nɔ̀,swâ:\\swɛ̂:,,wájì,,sɔ́:yɛ̀,wàjì,,,,,,,,,,,,,,,,
weapon,revolver,arme,pistolet,95.0,9.0,1.0,"pistol, revolver",pistolet,4677.0,,,old,,"pistol, revolver",pistolet,2.0,zàmbêy,pístólê: ~ pístólôy,,pìtòlô,pìsòlǒŋ,pistolo,pístólô:,pítòlô:,,,pìtòló,pìtòlê:,,,,pístòlè,pìstòlé,,,"pístólî:, kɔ̀rɔ̀-bógù",màlfà tíndè\\tíndì-mbò,,kòròmbòjí,,,,,,,,,,,,,,,,,,,
weapon,revolver,arme,pistolet,95.0,9.0,2.0,"pistol, revoler",pistolet,4678.0,,,old,,"large, old-fashioned revolver",gros pistolet de type démodé,2.0,zàmbêy,jàmbê:,màlfà-zàmbá,kɔ́rɔ́ bùgírî,,malpaⁿjambe,màlpà:ⁿ jàmbé,kɔ̀lɔ̀-búgù,,,,kɔ̀rɔ̀m-búgù,,,,"kɔ̀rɔ̀ búgú, kɔ̀rɔ̀ bùgì-ý",,,,,màlfà kéndè\\kéndù-mbò,,,,,,,,,,,,,,,,,,,,,
weapon,revolver,arme,pistolet,95.0,9.0,3.0,holster,étui (pistolet),8734.0,,,2010.06,,holster (for pistol),étui (de pistolet),2.0,húfá:rù,kɔ́:,,kɔ́:,,,kì-kǒw,,,,kó:ɲó,,,,,kéw,,,,kɔ́gɔ̀,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,1.0,rifle,fusil,4679.0,,,old,,rifle,fusil,1.0,mǎlfà ~ mǎlpà,màrpâ:,mǎlfà,màrbâ ~ màrpâ,màrpɔ̌:,"malpaⁿ,malfaⁿ",màlpâ:ⁿ ~ màlfâ:ⁿ,màrpâ:,màrpâ:,mǎlfà,màrùpá:,málbá,,,,màlfá,màlfá,màlàfá,márfá,márbá,mǎlfà\\mǎlfà-mbò,mánùbà,màlpá \\ màlfá,,márfà,màlfà,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,2.0,"rifle, musket","fusil, mousquet",4680.0,yes,,old,,"musket, old-fashioned rifle","mousquet, fusil traditionnel",1.0,gùsù-jɛ́m-nú màlfà,dɔ̀:-màrpâ:,dɔ̀:-mǎlfà,dɔ̀gɔ̀ màrpâ,,dɔgɔmalpaⁿ,dɔ̀ɣɔ̀-màlpâ:ⁿ,dɔ̀gɔ̀-màrpâ:,,,màrùpá:,dɔ̀gɔ̀-málbá,,,,"gárdì, màlfà bùgɔ́, dɔ̀gɔ̀ màlfá",màlfá,màlàfá,,dɔ̀gɔ̀-márbá,gùjú-[gɛ̂:-mbò] màlfà\\-mbò,,èjèŋgè málpà,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,3.0,"rifle, musket","fusil, mousquet",4681.0,yes,,old,,modern rifle (which uses no gunpowder),fusil moderne (qui n'utilise pas la poudre),1.0,"làsá:sù, ànàsá:rá màlfà",làsá:sù,làsá:sì,"làsá:sì, làsá:tì",làsá:dù,lasasu,làsá:sù,làsá:sù,,làsâ:s,làsá:ⁿsú,làsâ:jù,,,,lààsású,,làsáás,làsá:sù,làsá:zù,làsá:sì\\làsá:sì-mbò,,làsánsì,,lásá:sì,lásá:sì,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,4.0,"rifle, musket","fusil, mousquet",4682.0,,,old,,hunting musket,mousquet (fusil dogon) de chasse,2.0,,,xxx,,,,,màrpà: kɛ́ttâl,,,,,,,,,,làsáás,,,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,5.0,"rifle, musket","fusil, mousquet",4683.0,,,old,,"large ceremonial rifle with long barrel and beautiful decorations (uses a lot of gunpowder, its report is very loud)","gros fusil de cérémonie à canon long et bien orné (il consomme beaucoup de poudre, il fait un grand bruit)",2.0,bùgá,màrpà:-bùgɔ́,bùgá,màrbà bùgâ,búgù,bugɔya,bùgɔ̀-yǎ:,jèm-bùgɔ́,,,bùgɔ́,màlbà-bùgɔ́,,,,bùgɔ́,,,màrfà-bùgɔ́,bùgɔ̀,màlfà bùgá\\bùgá-mbó,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,6.0,"rifle, musket","fusil, mousquet",4684.0,,,old,,"beautiful decorated ceremonial rifle with short barrel (uses a little gunpowder, report not so loud)","fusil de cérémonie orné très joli à canon court (utilise peu de poudre, bruit moins haut)",2.0,gárdì,màrpà:-gárdì,gárdì,"màrbà-gátì, màrbà-gádì",,malfaⁿgardi,màlfà:ⁿ-gárdì,màrpà:-gáddù,,,,màlbà gádù,,,,mènnù pùrì-ý pɛ́gáá-dím,,,,gárdù,màlfà gárdì\\-gárdì-mbò,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,7.0,"rifle, musket","fusil, mousquet",4685.0,,,old,,ceremonial rifle with barrel made of light metal (like water tubes),fusil de cérémonia dont le canon est fabriqué en métal léger (comme dans les tuyaus d'eau),2.0,pómpì,màrpà:-tíyô:,pómpì,màrbà-tíyô:,,malfaⁿpompi,màlfà:ⁿ-pómpì,màrpà:-tíyô:,,,,,,,,pɔ̀mbì-ý,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,8.0,"rifle, musket","fusil, mousquet",4686.0,,,old,,ceremonial rifle whose barrel is made with heavy metal (e.g. from a steering wheel),"fusil de cérémonie dont le canon est de métal lourd (par ex., d'un volant de voiture)",2.0,wàlâŋ,wàlâ:ⁿ,wàlâŋ,màrbà-wàlâ,,malfaⁿwalaŋ,màlfà:ⁿ-wàlâŋ,màrpà:-wàlâm,,,,,,,,wàláàⁿ,,,,wàlâm,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,9.0,rifle,fusil,4687.0,,,old,,modern rifle type made by Ire (blacksmiths around Bandiaraga),sorte de fusil moderne fabriqué par les iré (forgerons de la zone de Bandiagara),2.0,,"ìrè-làsá:sù, dɔ̀:-làsá:sù",dɔ᷈: làsà:sì,"írê làsà:tì, dɔ̀gɔ̀-làsá:tì",,"irelasasu,dɔgɔlasasu","ìrè-làsá:sù, dɔ̀ɣɔ̀-làsá:sù",írè-m wà làsá:sù,,,,làsâ:jù,,,,lààsású,,,,ídé-mù làsà:zù,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,10.0,rifle,fusil,4688.0,,,old,,modern rifle type imported from Ghana (Russian brand name),sorte de fusil moderne importé de Ghana (marque russe),2.0,báykàl,báykâl,báykàl,báykâl,,baykal,báykâl,báygâl,,,báykál,bàykâl,,,,báygàl,,,,báykâl,báygàl\\báygàl-mbò,,bwéŋgálì,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,11.0,rifle,fusil,4689.0,,,old,,"modern rifle type imported e.g. from Italy (from inscription, ""cinq plus"")","sorte de fusil moderne importé par ex. de l'Italie (d'après l'inscription ""cinq plus"")",2.0,sɛ́mplɛ̂s,,sɛ̀mplís,,,,,,,,sɛ́mplɛ́s,sɛ̀mplɛ̂s,,,,sɛ̀mplɛ́ks,,,,sɛ́mplɛ́zù,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,11.3,rifle,fusil,8728.0,,,2010.06,,modern rifle type imported from Italy,sorte de fusil moderne importé de l'Italie,2.0,,màrpà:-ítálî:,,,,,màlpà:ⁿ ítálî:,,,,màrùpà: ítálî:,,,,,ànùsààrà màlbá,,,,ítálî:,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,12.0,rifle,fusil,4690.0,,,old,,rifle whose mechanism consists of two metal pieces that strike each other (without a flint),fusil dont le mécanisme consiste en deux parties en métal qui se frappent (sans silex),2.0,cɔ́ddàl,,xxx,xxx,,,xxx,xxx,,cɔ́ddàl (fired by matches),,xxx,,,,jɔ̀mbì-lè jɔ̀mbú,,,,tɔ̀gù-gà-tɔ̀gú,,,,,,,,,,,,,,,,,,,,,,
weapon,rifle/musket,arme,fusil/mousquet,95.0,10.0,13.0,rifle,fusil,8476.0,,,2010.06,,modern double-barreled rifle,fusil moderne à deux canons,2.0,ká-lɛ̂y,"màrpà: mǒ:-yêy, làsà:sù mǒ:-yêy",,"màrpà jìgé, màrpà nɔ̌:-wòy",,,làsà:s ká:-lɛ̂y,,,,làsà:ⁿs káⁿ-lɔ́y,,,,,màlbà áŋá néè,,,,làsàzù m̀bò-nô:,,,làsànsì dónígè nɛ́:ŋgà,,,,,,,,,,,,,,,,,,,
weapon,toy rifle,arme,fusil (jouet),95.0,11.0,1.0,toy rifle,fusil d'enfant,4691.0,yes,,old,,"child's toy rifle (sometimes made with spokes of a bicycle wheel), fired noisily with a match","fusil d'enfant (parfois fabriqué avec des rayons de roue de vélo), tiré bruyamment avec une allumette",1.0,éndèbérè,tɛ̂l-tɛ̂l,"tôl-tôl, màlfà tôl",yì-tɛ̀gɛ̂ màrpà,úlù-ŋ màrpɔ̀:-ỳ,tɛltɛl,tɛ̂l-tɛ̂l,màrpà: tɔ̂g-tɔ́gù,,tɛ̂l-tɛ̂l,pɔ̀gɔ̀rɔ̀pɔ́,màlbà-tô:,,,,nùgù tùrì-ý, ,,,tô:-tô:,tôy-tôy,,pôw-pôw,,,,,,,,,,,,,,,,,,,
weapon,toy rifle,arme,fusil (jouet),95.0,11.0,2.0,toy rifle,fusil d'enfant,4692.0,,,old,,small child's toy rifle made with millet or sorghum stems,fusil de jeune enfant fabriqué avec des tiges de mil ou de sorgho,2.0,,màrpà:-kɔ̀ŋgɔ̀rɔ́,,sɔ́gɔ̂ màrpà,,malfaⁿceru,màlfà:ⁿ-cè:rú,màrpà: kì-kèrú,,,kèrú márúpà:,[kèrì-ý] màlbà,,,,kùgɔ̀lú màlfà,,,,ɛ̀mà-kàdù márbá,sìmbá-ŋgó màlfà,,gɛ́:nɛ̀ màlpà,,,,,,,,,,,,,,,,,,,
weapon,toy rifle,arme,fusil (jouet),95.0,11.0,3.0,toy rifle,fusil d'enfant,4693.0,,,old,,"child's toy rifle (in the shape of a real rifle), fired noisily by a match","fusil d'enfant (en forme de vrai fusil), tiré bruyamment avec une allumette",2.0,érdíyà,"àlmɛ́:tù màrpà:, làríyà màrpà:",yì-tɛ᷈: màlfà,yì-tɛ̀gɛ̂ màrpà,,,,màrpà: tɔ̂g-tɔ́gù,,,,màlbà-ý,,,,nùgù tùrì-ý,,,,tô:-tô:,,,péré-pérè,,,,,,,,,,,,,,,,,,,
weapon,toy rifle,arme,fusil (jouet),95.0,11.0,4.0,toy rifle,fusil d'enfant,4694.0,,,old,,"older child's toy rifle (fairly realistic, uses real gunpowder)","fusil d'enfant un peu grandi (assez réaliste, utilise la vraie poudre à canon)",2.0,,dìm-dâm,màlfà-dámbù,màrpà-dónjò,,,,màrpà:-gúddâl,,,màrùpà: dágá,kɔ̀rɔ̀m-búgù,,,,màlfà álùwàlù,,,,,màlfà-dǎ:lù:\\-dǎ:lè,,,,,,,,,,,,,,,,,,,,,
weapon,bullet,arme,balle,95.0,12.0,1.0,bullet,balle,4695.0,,,old,,bullet,balle (de fusil),1.0,màlfà-ìrⁿú,"màrpà:-yî:, mɔ̀rɔ̀-yî:",màlfà-yî:,màrbà-ǹjâ,tìb-î:,"mɔrⁿɔiⁿ,malfaⁿiⁿ","mɔ̀rⁿɔ̀-î:ⁿ, màlfà:ⁿ-î:ⁿ",màrpà:-î:ⁿ,,,màrùpà:-í:ⁿ,"màlbà-[tìbì-ý], màlbà-ý",,,,tibè-ý,mɔ́rɛ̀,,màrfà-íyɛ́,màrbà-é:,mɔ̀rɔ̀-[sê:-ŋgò]\\mɔ̀rɔ̀-sê:,,mɔ́rɔ̀ sí: // málpá sí:,,mɔ̀:rɛ́-sè (-sě:-gè),mɔ́rɛ́-sê:,,,,,,,,,,,,,,,,
weapon,bullet,arme,balle,95.0,12.0,2.0,"bullet, casing","balle, cartouche",4696.0,,,old,,piece of hollowed millet stem used as casing (cartridge) for bullet inside gun barrel,morceau de tige creuse de mil utilisé comme cartouche de balle à l'intérieur du canon du fusil,2.0,,,,"kɔ́-kɔ́rɔ́, màrpà-[kɔ́-kɔ́rɔ́]",,,,kɛ́-kɛ́sɛ̀,,,,,,,,dɔ̀gɔ̀ tìbè-ý,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,bullet,arme,balle,95.0,12.0,3.0,"bullet, casing","balle, cartouche",8481.0,,,2010.06,,piece of cloth used as casing for a bullet inside the gun barrel,morceau de tissu qui sert de cartouche d'une balle à l'intérieur du canon du fusil,3.0,,,,,,,,,,,,,,,,,,,,,,,màlfà sógélé,,,,,,,,,,,,,,,,,,,
weapon,gunpowder,arme,poudre à canon,95.0,13.0,1.0,gunpowder,poudre à canon,4697.0,,,old,,"gunpowder (combination of a kind of soda ash, sulphur, and charcoal)","poudre à canon (combinaison d'une sorte de potasse, de charbon, et de soufre)",1.0,bàrú:tù,dâm,dámbò,màrbà-pírⁿâ,màrpɔ̀:-pùnɔ́,bugu,búgù,búgù,búgù,,búgú,màlbà-ɛ̂:ⁿ,,,,màlfà púnɔ́,ɛ́nɛ̀,,màrfà-ɛ́rⁿɛ́,màrbà-ɛ́rⁿɛ́,màlfà-púnɛ̀,,màlpà púnáŋgè,,màrfá-pùnà,màlà púnà,,,,,,,,,,,,,,,,
weapon,gunpowder,arme,poudre à canon,95.0,13.0,1.3,gunpowder,poudre à canon,8638.0,,,2010.06,,fine gunpowder put in the chamber of a rifle,fine poudre à canon introduite dans la chambre d'un fusil,3.0,,,,,,,,,,,,,,,,,,,,,,,tègèdí,,,,,,,,,,,,,,,,,,,
weapon,gunpowder,arme,poudre à canon,95.0,13.0,2.0,"pinch, gunpowder","pincée, poudre à canon",4698.0,,get,old,,put a pinch of gunpowder in (rifle),mettre une pincée de poudre dans (fusil),1.0,tɛ́kú\\téká,tɛ́yí,sûɲ-ɲà gǎŋ,tɛ́gí,jèm-â: kúndò,tɛgɛ,tɛ́gɛ́,tɛ́gɛ́,,,búgú lɔ́:wù,tɛ́gɛ́-\\tɛ́gɛ́,,,,tɛ́gɛ́,tɛ́gɛ̀,,"tɛ́gú (tɛ́gú-tì-, neg tɛ̀gì-lí-)",tɛ́gɛ́,tɛ́gɛ́,,gàlé túlé,,,,,,,,,,,,,,,,,,,
weapon,gunpowder,arme,poudre à canon,95.0,13.0,3.0,"pinch, gunpowder","pincée, poudre à canon",4699.0,,,old,,pinch of gunpowder (in rifle),pincée de poudre à canon (dans un fusil),1.0,mɔ̀rsɔ̀-tɛ́kú,sù:rⁿù-[tɛ̌-ỳ],sûɲ-ɲà,sùŋùrⁿì-tɛ̀gí,,suntɛgu,sûn-tɛ́gù,sùŋùrⁿù-tɛ́gú,,,bùgù lɔ̌:w,sùgùrù-tɛ̀gú,,,,sùgùlù tégú,tɛ̀gú-ŋ́ (pl tɛ̀gúⁿ yà:),,,sùn-tɛ̀gú,sùmà-[tèg-î:],,gàlé,,,,,,,,,,,,,,,,,,,
weapon,gunpowder,arme,poudre à canon,95.0,13.0,4.0,"sulfur, sulphur",soufre,4700.0,yes,,old,,sulfur (used with gunpowder),soufre (pour la poudre à fusil),1.0,sítì,sítù,síttì,"síddì, sídì",síddù,sitti,síttì,síddì,,,sídí,sídù,,,,sìdú,sît,,sídù,sídù,síttì,,há:sídì,,sìttí,síttì,,,,,,,,,,,,,,,,
weapon,gunpowder container,arme,récipient à poudre,95.0,14.0,1.0,gunpowder horn,corne à poudre à canon,4701.0,,,old,,gunpowder horn (all kinds),corne à poudre à canon (toutes sortes),1.0,,dàm-dùdú:rú,dàmbù-cíyà,màrpà gándɔ́rì,gánnàrù,,,bùgù-bádà,,,bádá-kùrɔ̀,ɛ̀:ⁿ-kɛ́lɛ̀,,,,gánnààrù,,pùnó kùndù,búgùtùrù,,gârná:tì-ŋgò\\gârná:tì,,púnáŋgè kélè,,gàrnà:rɛ́,xxx,,,,,,,,,,,,,,,,
weapon,gunpowder container,arme,récipient à poudre,95.0,14.0,2.0,gunpowder horn,corne à poudre à canon,4702.0,yes,,old,,large gunpowder horn (worn on cord around neck),gros corne à poudre à canon (porté par une corde autour du cou),1.0,mǎlfà cìrà,mórsínɛ̀,,,,garumarɛ,gárúmá:rɛ̀,,,,,ɛ̀:ⁿ-kɛ́lɛ̀,,,,gánnààrù,kɛ́lɔ̀:,pùnó kùndù,,gánà:rù,,,,,,,,,,,,,,,,,,,,,,
weapon,gunpowder container,arme,récipient à poudre,95.0,14.0,3.0,gunpowder horn,corne à poudre à canon,4703.0,yes,,old,,small gunpowder horn,petit corne à poudre à canon,1.0,mɔ̌rsɔ̀ cìrà,,,,,kɔrɔcirɛ,kɔ̀rɔ́-círɛ̀,,,,,ɛ̀:ⁿ-kɛ̀lɛ̀-ý,,,,lúgùtùrù,,pùnó kùndù,,músìlɛ̀,,,tègèdì kélè,,,,,,,,,,,,,,,,,,,
weapon,gunpowder container,arme,récipient à poudre,95.0,14.0,4.0,gunpowder box,boïte à poudre à canon,4704.0,get,,old,,gunpowder box,boîte à poudre à canon,2.0,bàrú:tù tòŋò,sìm-[dù-dú:rú],dámbù bátà,"sí-nàrⁿà, màrpà sí-nàrⁿà",,,,,,,,,,,,sìm kɛ̀mmɛ̀-ý,,,,sím cɛ́mɛ̀,,,pùnàŋgè dó:lì // málpá púnáŋgé dèbù,,,,,,,,,,,,,,,,,,,
weapon,gunpowder container,arme,récipient à poudre,95.0,14.0,5.0,gunpowder gourd,gourde à poudre à canon,4705.0,get,,old,,gunpowder gourd,gourde à poudre à canon,2.0,,,,,,,,,,,búgú-bɔ́lú,ɛ̀:ⁿ-[kɛ̀mɛ̀-ýⁿ],,,,pùnɔ̀ kɛ̀mmɛ̀-ý,,,,ɛ́:rⁿɛ̀ cɛ̀mɛ̀,màlfa-púnɛ̀ tòndò:,,,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,1.0,stock,fût et crosse,4706.0,yes,,old,,stock (wooden part) of a rifle,fût et crosse (partie en bois) d'un fusil,2.0,mǎlpà kúsú,"màrpà:-kúsú, màrpà:-béré",màlfà-kúsá,màrpà-kúsá,,"malpaⁿbere,malpaⁿkuju","màlpà:ⁿ-béré, màlpà:ⁿ-kújú",màrpà:-kúsú,,,màrùpà:-kújú,màlbà-kújú,,,,kúdú,,tàáŋ,,màrbà-kúzá,mǎlfà pùrù,,màlpà túmà,,màrfá-tě:bè,màrfà túmà,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,2.0,butt,crosse,4707.0,yes,,old,,butt end of rifle,crosse (=bout) de fusil,2.0,"dúwárì, mǎlpà kù",màrpà:-bìrⁿú,,màrpà-dúmbó,,malpaⁿkuju,màlpà:ⁿ-kújú,màrpà:-làrú,,,màrùpà:-bɔ̀rɔ́,màlbà-dúmɔ́,,,,"màlfà dúmmɔ́, màlfà tàgá",,màlfà dúmmù,,màrbà-dùmɔ́,màlfà-dúwà:rù,,màlpà súgú,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,3.0,butt cover,couverture,4708.0,,,old,,hide covering on end of rifle butt,enveloppe en cuir du bout de la crosse de fusil,2.0,,bá:gôl,bágàwàl,bágáwárɛ̀,,,,[màrpà:-làr]-cíŋgí,,,,xxx,,,,màlfà dùmmɔ̀ pógúrú,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,4.0,"ornament, tack","ornement, broquette",4709.0,,,old,,thumbtack-like ornamental tacks on rifle butt,broquettes sur la crosse du fusil,2.0,pòntì pírú,cíppɛ̀,,mɛ̀:ndì kɔ́gɔ́,,,,màrpà:-kípà,,,,mɛ̀n-[kɔ̀rɔ̀-ý],,,,mènnù kùrì-ý,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,5.0,"ornement, bolt","ornement, coulasse mobile",4710.0,,,old,,ornamental bolt end (on rifle butt),bout décoratif de coulasse mobile (à la crosse d'un fusil),2.0,,,,mɛ̀:ndì kɔ́gɔ́,,,,,,,,,,,,pègì-ý,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,6.0,barrel,canon,4711.0,yes,,old,,barrel of rifle,canon de fusil,1.0,"sòló, mǎlpà sòlò","sólóm, màrpà:-sòró, màrpà:-í:rⁿɛ́m","sóló, màlfà-ɲírⁿéyⁿ","ì:ndà-sóró, màrpà-í:ndá",sérèndè,"malpaⁿlosol,malpaⁿsolowol","màlpà:ⁿ-ló:sôl, màlpà:ⁿ-sólówôl","ì:nɛ̀m-sóllôl, tíyô:",,,màrùpà:-káⁿ,màlbà-[sòlòlò-ý],,,,màlfà sòlò-ý,,màlfà kɛ́nnù,màrfà-sǒ:,màrbà-sòló,màlfà-pɔ́mbɔ́:\\-pɔ́mbɛ́:,,málpá pémbé,,sèrdú,xxx,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,7.0,cow tail,queue de vache,4712.0,yes,,old,,two or three bands of cow-tail hide that hold the barrel tightly to the stock of a rifle,deux ou trois bandes en peau de queue de vache qui serrent le canon au fût d'un fusil,2.0,mǎlfà gùsù,màrpà:-gùsú,mǎlfà bá:kòl,màrpà-gùsí,,malpaⁿguju,màlpà:ⁿ-gùjú,màrpà:-cíŋgí,,,màrùpà:-gùjú,màlbà-gùjú,,,,màlfà kɔ̀mbɔ́,,,,màrbà-gùzù,,,màlpà gújú,,,,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,8.0,ramrod,baguette,4713.0,yes,,old,,ramrod (inserted into gun barrel),baguette de fusil (introduite dans le canon),1.0,"ló:sôl, ló:còl",lò:sòl-yî:,màlfà-sɔ̀sɔ̌l,màrpà-sùgî,lósòrò,"malpaⁿcɛm,malpaⁿlosol","màlpà:ⁿ-cɛ̌m, màlpà:ⁿ-ló:sôl",lò:sòn-î:,,,lósólú,ló:sòn,,,,nùgù sùrì-ý,xxx,,màrfà-sòsòríyɛ́,ló:sòl,màlfà-swâ:\\-swɛ̂:,,màlpà ló:sì,,màrfá-lǒ:sò,gálábá,,,,,,,,,,,,,,,,
weapon,firearm body,arme,corps du fusil,95.0,15.0,9.0,ramrod tube,tube de baguette,4714.0,,,old,,tube for holding ramrod under gun barrel,tube qui tient la baguette au-dessus du canon de fusil,2.0,ló:còl ùrò,lò:sòl-yî: ùrò,,"kɔ́-kɔ́rɔ́, màrpà-[kɔ́-kɔ́rɔ́]",,cɛmuro,cɛ̀m-úró,[lò:sòn-ì:]-bùsú,,,lósólú úrⁿú,lò:sòn-kùnú,,,,nùgù sùrì-y kɔ́gɔ́,,,,[màrbà-sùzà]-é:,màlfà-swâ: òlè,,ló:sì kòmbò,,,,,,,,,,,,,,,,,,,
